"","interactive","little","big","tag"
"285","08.57.31.6",20,14,"0"
"286","08.57.31.7",20,14,"0"
"287","08.57.31.8",20,14,"0"
"288","08.57.31.9",20,14,"0"
"289","08.57.32.0",20,14,"0"
"290","08.57.32.0",20,14,"0"
"291","08.57.32.1",20,14,"0"
"292","08.57.32.2",20,14,"0"
"293","08.57.32.3",20,14,"0"
"294","08.57.32.4",20,14,"0"
"295","08.57.32.4",20,14,"0"
"296","08.57.32.5",20,14,"0"
"297","08.57.32.6",20,14,"0"
"298","08.57.32.7",20,14,"0"
"299","08.57.32.8",20,14,"0"
"300","08.57.32.8",20,14,"0"
"301","08.57.32.9",20,14,"0"
"302","08.57.33.0",20,14,"0"
"303","08.57.33.1",20,14,"0"
"304","08.57.33.2",20,14,"0"
"305","08.57.33.2",20,14,"0"
"306","08.57.33.3",20,14,"0"
"307","08.57.33.4",20,14,"0"
"308","08.57.33.5",20,14,"0"
"309","08.57.33.6",20,14,"0"
"310","08.57.33.7",20,14,"0"
"311","08.57.33.7",20,14,"0"
"312","08.57.33.8",20,14,"0"
"313","08.57.33.9",20,14,"0"
"314","08.57.34.0",20,14,"0"
"315","08.57.34.1",20,14,"0"
"316","08.57.34.1",20,14,"0"
"317","08.57.34.2",20,14,"0"
"318","08.57.34.3",20,14,"0"
"319","08.57.34.4",20,14,"0"
"320","08.57.34.5",20,14,"0"
"321","08.57.34.5",20,14,"0"
"322","08.57.34.6",20,14,"0"
"323","08.57.34.7",20,14,"0"
"324","08.57.34.8",20,14,"0"
"325","08.57.34.9",20,14,"0"
"326","08.57.34.9",20,14,"0"
"327","08.57.35.0",20,14,"0"
"328","08.57.35.1",20,14,"0"
"329","08.57.35.2",20,14,"0"
"330","08.57.35.3",20,14,"0"
"331","08.57.35.3",20,14,"0"
"332","08.57.35.4",20,14,"0"
"333","08.57.35.5",20,14,"0"
"334","08.57.35.6",20,14,"0"
"335","08.57.35.7",20,14,"0"
"336","08.57.35.8",20,14,"0"
"337","08.57.35.8",20,14,"0"
"338","08.57.35.9",20,14,"0"
"339","08.57.36.0",20,14,"0"
"340","08.57.36.1",20,14,"0"
"341","08.57.36.2",20,14,"0"
"342","08.57.36.2",20,14,"0"
"343","08.57.36.3",20,14,"0"
"344","08.57.36.4",20,14,"0"
"345","08.57.36.5",20,14,"0"
"346","08.57.36.6",20,14,"0"
"347","08.57.36.6",20,14,"0"
"348","08.57.36.7",20,14,"0"
"349","08.57.36.8",20,14,"0"
"350","08.57.36.9",20,14,"0"
"351","08.57.37.0",20,14,"0"
"352","08.57.37.0",20,14,"0"
"353","08.57.37.1",20,14,"0"
"354","08.57.37.2",20,14,"0"
"355","08.57.37.3",20,14,"0"
"356","08.57.37.4",20,14,"0"
"357","08.57.37.4",20,14,"0"
"358","08.57.37.5",20,14,"0"
"359","08.57.37.6",20,14,"0"
"360","08.57.37.7",20,14,"0"
"361","08.57.37.8",20,14,"0"
"362","08.57.37.9",20,14,"0"
"363","08.57.37.9",20,14,"0"
"364","08.57.38.0",20,14,"0"
"365","08.57.38.1",20,14,"0"
"366","08.57.38.2",20,14,"0"
"367","08.57.38.3",20,14,"0"
"368","08.57.38.3",20,14,"0"
"369","08.57.38.4",20,14,"0"
"370","08.57.38.5",20,14,"0"
"371","08.57.38.6",20,14,"0"
"372","08.57.38.7",20,14,"0"
"373","08.57.38.7",20,14,"0"
"374","08.57.38.8",20,14,"0"
"375","08.57.38.9",20,14,"0"
"376","08.57.39.0",20,14,"0"
"377","08.57.39.1",20,14,"0"
"378","08.57.39.1",20,14,"0"
"379","08.57.39.2",20,14,"0"
"380","08.57.39.3",20,14,"0"
"381","08.57.39.4",20,14,"0"
"382","08.57.39.5",20,14,"0"
"383","08.57.39.5",20,14,"0"
"384","08.57.39.6",20,14,"0"
"385","08.57.39.7",20,14,"0"
"386","08.57.39.8",20,14,"0"
"387","08.57.39.9",20,14,"0"
"388","08.57.40.0",20,14,"0"
"389","08.57.40.0",20,14,"0"
"390","08.57.40.1",20,14,"0"
"391","08.57.40.2",20,14,"0"
"392","08.57.40.3",20,14,"0"
"393","08.57.40.4",20,14,"0"
"394","08.57.40.4",20,14,"0"
"395","08.57.40.5",20,14,"0"
"396","08.57.40.6",20,14,"0"
"397","08.57.40.7",20,14,"0"
"398","08.57.40.8",20,14,"0"
"399","08.57.40.8",20,14,"0"
"400","08.57.40.9",20,14,"0"
"401","08.57.41.0",20,14,"0"
"402","08.57.41.1",20,14,"0"
"403","08.57.41.2",20,14,"0"
"404","08.57.41.2",20,14,"0"
"405","08.57.41.4",20,14,"0"
"406","08.57.41.5",20,14,"0"
"407","08.57.41.6",20,14,"1"
"408","08.57.41.7",20,14,"1"
"409","08.57.41.8",20,14,"1"
"410","08.57.41.9",20,14,"1"
"411","08.57.42.0",20,14,"1"
"412","08.57.42.1",20,14,"1"
"413","08.57.42.2",20,14,"1"
"414","08.57.42.3",20,14,"1"
"415","08.57.42.4",20,14,"1"
"416","08.57.42.5",20,14,"1"
"417","08.57.42.5",20,14,"1"
"418","08.57.42.6",20,14,"1"
"419","08.57.42.7",20,14,"1"
"420","08.57.42.8",20,14,"1"
"421","08.57.42.9",20,14,"1"
"422","08.57.43.0",20,14,"1"
"423","08.57.43.1",20,14,"1"
"424","08.57.43.2",20,14,"1"
"425","08.57.43.3",20,14,"1"
"426","08.57.43.4",20,14,"1"
"427","08.57.43.5",20,14,"1"
"428","08.57.43.6",20,14,"1"
"429","08.57.43.7",20,14,"1"
"430","08.57.43.8",20,14,"1"
"431","08.57.43.9",20,14,"1"
"432","08.57.44.0",20,14,"1"
"433","08.57.44.1",20,14,"1"
"434","08.57.44.2",20,14,"1"
"435","08.57.44.3",20,14,"1"
"436","08.57.44.4",20,14,"1"
"437","08.57.44.5",20,14,"1"
"438","08.57.44.6",20,14,"1"
"439","08.57.44.7",20,14,"1"
"440","08.57.44.8",20,14,"1"
"441","08.57.44.8",20,14,"1"
"442","08.57.44.9",20,14,"1"
"443","08.57.45.0",20,14,"1"
"444","08.57.45.1",20,14,"1"
"445","08.57.45.2",20,14,"1"
"446","08.57.45.3",20,14,"1"
"447","08.57.45.4",20,14,"1"
"448","08.57.45.5",20,14,"1"
"449","08.57.45.6",20,14,"1"
"450","08.57.45.7",20,14,"1"
"451","08.57.45.8",20,14,"1"
"452","08.57.45.9",20,14,"1"
"453","08.57.46.0",20,14,"1"
"454","08.57.46.1",20,14,"1"
"455","08.57.46.1",20,14,"1"
"456","08.57.46.2",20,14,"1"
"457","08.57.46.3",20,14,"1"
"458","08.57.46.4",20,14,"1"
"459","08.57.46.5",20,14,"1"
"460","08.57.46.6",20,14,"1"
"461","08.57.46.7",20,14,"1"
"462","08.57.46.8",20,14,"1"
"463","08.57.46.9",20,14,"1"
"464","08.57.47.0",20,14,"1"
"465","08.57.47.0",20,14,"1"
"466","08.57.47.1",20,14,"1"
"467","08.57.47.2",20,14,"1"
"468","08.57.47.3",20,14,"1"
"469","08.57.47.4",20,14,"1"
"470","08.57.47.5",20,14,"1"
"471","08.57.47.6",20,14,"1"
"472","08.57.47.7",20,14,"1"
"473","08.57.47.8",20,14,"1"
"474","08.57.47.9",20,14,"1"
"475","08.57.48.0",20,14,"1"
"476","08.57.48.0",20,14,"1"
"477","08.57.48.1",20,14,"1"
"478","08.57.48.2",20,14,"1"
"479","08.57.48.3",20,14,"1"
"480","08.57.48.4",20,14,"1"
"481","08.57.48.5",20,14,"1"
"482","08.57.48.6",20,14,"1"
"483","08.57.48.7",20,14,"1"
"484","08.57.48.8",20,14,"1"
"485","08.57.48.9",20,14,"1"
"486","08.57.49.0",20,14,"1"
"487","08.57.49.0",20,14,"1"
"488","08.57.49.1",20,14,"1"
"489","08.57.49.2",20,14,"1"
"490","08.57.49.3",20,14,"1"
"491","08.57.49.4",20,14,"1"
"492","08.57.49.5",20,14,"1"
"493","08.57.49.6",20,14,"1"
"494","08.57.49.7",20,14,"1"
"495","08.57.49.7",20,14,"1"
"496","08.57.49.8",20,14,"1"
"497","08.57.49.9",20,12,"1"
"498","08.57.50.0",20,14,"1"
"499","08.57.50.1",20,14,"1"
"500","08.57.50.2",20,14,"1"
"501","08.57.50.3",20,14,"1"
"502","08.57.50.4",20,14,"0"
"503","08.57.50.4",20,14,"0"
"504","08.57.50.5",20,14,"0"
"505","08.57.50.6",20,14,"0"
"506","08.57.50.7",20,14,"0"
"507","08.57.50.8",20,14,"0"
"508","08.57.50.9",20,14,"0"
"509","08.57.50.9",20,14,"0"
"510","08.57.51.0",20,14,"0"
"511","08.57.51.1",20,14,"0"
"512","08.57.51.2",20,14,"0"
"513","08.57.51.3",20,14,"0"
"514","08.57.51.3",20,14,"0"
"515","08.57.51.4",20,14,"0"
"516","08.57.51.5",20,14,"0"
"517","08.57.51.6",20,14,"0"
"518","08.57.51.7",20,14,"0"
"519","08.57.51.7",20,14,"0"
"520","08.57.51.8",20,14,"0"
"521","08.57.51.9",20,14,"0"
"522","08.57.52.0",20,14,"0"
"523","08.57.52.1",20,14,"0"
"524","08.57.52.1",20,14,"0"
"525","08.57.52.2",20,14,"0"
"526","08.57.52.3",20,14,"0"
"527","08.57.52.4",20,14,"0"
"528","08.57.52.5",20,14,"0"
"529","08.57.52.6",20,14,"0"
"530","08.57.52.6",20,14,"0"
"531","08.57.52.7",20,14,"0"
"532","08.57.52.8",20,14,"0"
"533","08.57.52.9",20,14,"0"
"534","08.57.53.0",20,14,"0"
"535","08.57.53.0",20,14,"0"
"536","08.57.53.1",20,14,"0"
"537","08.57.53.2",20,14,"0"
"538","08.57.53.3",20,14,"0"
"539","08.57.53.4",20,14,"0"
"540","08.57.53.4",20,14,"0"
"541","08.57.53.5",20,14,"0"
"542","08.57.53.6",20,14,"0"
"543","08.57.53.7",20,14,"0"
"544","08.57.53.8",20,14,"0"
"545","08.57.53.8",20,14,"0"
"546","08.57.53.9",20,14,"0"
"547","08.57.54.0",20,14,"0"
"548","08.57.54.1",20,14,"0"
"549","08.57.54.2",20,14,"0"
"550","08.57.54.3",20,14,"0"
"551","08.57.54.3",20,14,"0"
"552","08.57.54.4",20,14,"0"
"553","08.57.54.5",20,14,"0"
"554","08.57.54.6",20,14,"0"
"555","08.57.54.7",20,14,"0"
"556","08.57.54.7",20,14,"0"
"557","08.57.54.8",20,14,"0"
"558","08.57.54.9",20,14,"0"
"559","08.57.55.0",20,14,"0"
"560","08.57.55.1",20,14,"0"
"561","08.57.55.1",20,14,"0"
"562","08.57.55.2",20,14,"0"
"563","08.57.55.3",20,14,"0"
"564","08.57.55.4",20,14,"0"
"565","08.57.55.5",20,14,"0"
"566","08.57.55.5",20,14,"0"
"567","08.57.55.6",20,14,"0"
"568","08.57.55.7",20,14,"0"
"569","08.57.55.8",20,14,"0"
"570","08.57.55.9",20,14,"0"
"571","08.57.55.9",20,14,"0"
"572","08.57.56.0",20,14,"0"
"573","08.57.56.1",20,14,"0"
"574","08.57.56.2",20,14,"0"
"575","08.57.56.3",20,14,"0"
"576","08.57.56.3",20,14,"0"
"577","08.57.56.4",20,14,"0"
"578","08.57.56.5",20,14,"0"
"579","08.57.56.6",20,14,"0"
"580","08.57.56.7",20,14,"0"
"581","08.57.56.8",20,14,"0"
"582","08.57.56.8",20,14,"0"
"583","08.57.56.9",20,14,"0"
"584","08.57.57.0",20,14,"0"
"585","08.57.57.1",20,14,"0"
"586","08.57.57.2",20,14,"0"
"587","08.57.57.2",20,14,"0"
"588","08.57.57.3",20,14,"0"
"589","08.57.57.4",20,14,"0"
"590","08.57.57.5",20,14,"0"
"591","08.57.57.6",20,14,"0"
"592","08.57.57.6",20,14,"0"
"593","08.57.57.7",20,14,"0"
"594","08.57.57.8",20,14,"0"
"595","08.57.57.9",20,14,"0"
"596","08.57.58.0",20,14,"0"
"597","08.57.58.0",20,14,"0"
"598","08.57.58.1",20,14,"0"
"599","08.57.58.2",20,14,"0"
"600","08.57.58.3",20,14,"0"
"601","08.57.58.4",20,14,"0"
"602","08.57.58.4",20,14,"0"
"603","08.57.58.5",20,14,"0"
"604","08.57.58.6",20,14,"0"
"605","08.57.58.7",20,14,"0"
"606","08.57.58.8",20,14,"0"
"607","08.57.58.8",20,14,"0"
"608","08.57.58.9",20,14,"0"
"609","08.57.59.0",20,14,"0"
"610","08.57.59.1",20,14,"0"
"611","08.57.59.2",20,14,"0"
"612","08.57.59.3",20,14,"0"
"613","08.57.59.3",20,14,"0"
"614","08.57.59.4",20,14,"0"
"615","08.57.59.5",20,14,"0"
"616","08.57.59.6",20,14,"0"
"617","08.57.59.7",20,14,"0"
"618","08.57.59.7",20,14,"0"
"619","08.57.59.8",20,14,"0"
"620","08.57.59.9",20,14,"0"
"621","08.58.00.0",20,14,"0"
"622","08.58.00.1",20,14,"0"
"623","08.58.00.1",20,14,"0"
"624","08.58.00.2",20,14,"0"
"625","08.58.00.3",20,14,"0"
"626","08.58.00.4",20,14,"0"
"627","08.58.00.5",20,14,"0"
"628","08.58.00.6",20,14,"0"
"629","08.58.00.6",20,14,"0"
"630","08.58.00.7",20,14,"0"
"631","08.58.00.8",20,14,"0"
"632","08.58.00.9",20,14,"0"
"633","08.58.01.0",20,14,"0"
"634","08.58.01.0",20,14,"0"
"635","08.58.01.1",20,14,"0"
"636","08.58.01.2",20,14,"0"
"637","08.58.01.3",20,14,"0"
"638","08.58.01.4",20,14,"0"
"639","08.58.01.4",20,14,"0"
"640","08.58.01.5",20,14,"0"
"641","08.58.01.6",20,14,"0"
"642","08.58.01.7",20,14,"0"
